index,v0_bs,v0_rs,delta,sigma_bs,sigma_rs,sigma_delta,within_error
1.160000000000000000e+02,1.316629901116323017e+05,1.316629901116323017e+05,0.000000000000000000e+00,3.000829265132032392e-12,4.915399561213999091e-12,7.916228826346031483e-12,1.000000000000000000e+00
1.170000000000000000e+02,1.339527383326850540e+05,1.339527383326850540e+05,0.000000000000000000e+00,3.001049475264668030e-12,4.941706235905998930e-12,7.942755711170666960e-12,1.000000000000000000e+00
1.180000000000000000e+02,1.362622257625399507e+05,1.362622257625399507e+05,0.000000000000000000e+00,3.000271998673933796e-12,1.293410350285000030e-11,1.593437550152393410e-11,1.000000000000000000e+00
1.190000000000000000e+02,1.385914524011970498e+05,1.385914524011970498e+05,0.000000000000000000e+00,3.000609054999396754e-12,2.326027862425399369e-11,2.626088767925338963e-11,1.000000000000000000e+00
1.200000000000000000e+02,1.409404182486563222e+05,1.409404182486563222e+05,0.000000000000000000e+00,3.000664482039584104e-12,1.535324383231799731e-11,1.835390831435758142e-11,1.000000000000000000e+00
1.210000000000000000e+02,1.433091233049177681e+05,1.433091233049177390e+05,2.910383045673370361e-11,3.000438279794495845e-12,3.772572847718601114e-11,4.072616675698050941e-11,1.000000000000000000e+00
1.220000000000000000e+02,1.456975675699813874e+05,1.456975675699813874e+05,0.000000000000000000e+00,3.000294469095631327e-12,2.866163290114000047e-12,5.866457759209631374e-12,1.000000000000000000e+00
1.230000000000000000e+02,1.481057510438471800e+05,1.481057510438471800e+05,0.000000000000000000e+00,3.000609054999396754e-12,1.117907249152200272e-11,1.417968154652140028e-11,1.000000000000000000e+00
1.240000000000000000e+02,1.505336737265151460e+05,1.505336737265151460e+05,0.000000000000000000e+00,3.000289975011291659e-12,1.962727316275400265e-11,2.262756313776529512e-11,1.000000000000000000e+00
1.250000000000000000e+02,1.529813356179853145e+05,1.529813356179853145e+05,0.000000000000000000e+00,3.000447267963174373e-12,2.821130217472200431e-11,3.121174944268517868e-11,1.000000000000000000e+00
1.260000000000000000e+02,1.554487367182576854e+05,1.554487367182576854e+05,0.000000000000000000e+00,3.000722905135997360e-12,9.892192915453997418e-12,1.289291582058999559e-11,1.000000000000000000e+00
1.270000000000000000e+02,1.579358770273321716e+05,1.579358770273321716e+05,0.000000000000000000e+00,3.000746873585807844e-12,1.395136991230000052e-12,4.395883864815807492e-12,1.000000000000000000e+00
1.280000000000000000e+02,1.604427565452088893e+05,1.604427565452088893e+05,0.000000000000000000e+00,3.000519173312606632e-12,9.239357886466003146e-12,1.223987705977860897e-11,1.000000000000000000e+00
1.290000000000000000e+02,1.629693752718877513e+05,1.629693752718877513e+05,0.000000000000000000e+00,3.000424797541476842e-12,1.800807049216199711e-11,2.100849528970347314e-11,1.000000000000000000e+00
1.300000000000000000e+02,1.655157332073688158e+05,1.655157332073688158e+05,0.000000000000000000e+00,3.000472734441097810e-12,2.133989137202999857e-11,2.434036410647109557e-11,1.000000000000000000e+00
1.310000000000000000e+02,1.680818303516520537e+05,1.680818303516520537e+05,0.000000000000000000e+00,3.000671972180149678e-12,1.265707811225399550e-11,1.565775008443414518e-11,1.000000000000000000e+00
1.320000000000000000e+02,1.706676667047374649e+05,1.706676667047374649e+05,0.000000000000000000e+00,3.000637517533546906e-12,3.838973382654000030e-12,6.839610900187546936e-12,1.000000000000000000e+00
1.330000000000000000e+02,1.732732422666250495e+05,1.732732422666250495e+05,0.000000000000000000e+00,3.000369370501289493e-12,7.113885945857998275e-12,1.011425531635928858e-11,1.000000000000000000e+00
1.340000000000000000e+02,1.758985570373148366e+05,1.758985570373148366e+05,0.000000000000000000e+00,3.000667478095810011e-12,3.347746895052598804e-11,3.647813642862179644e-11,1.000000000000000000e+00
1.350000000000000000e+02,1.785436110168067389e+05,1.785436110168067680e+05,-2.910383045673370361e-11,3.000743877529581130e-12,2.542708962509000016e-11,2.842783350261958290e-11,1.000000000000000000e+00
1.360000000000000000e+02,1.812084042051008728e+05,1.812084042051009019e+05,-2.910383045673370361e-11,3.000598568802604466e-12,1.560772064460599969e-11,1.860831921340860415e-11,1.000000000000000000e+00
1.370000000000000000e+02,1.838929366021971800e+05,1.838929366021972091e+05,-2.910383045673370361e-11,3.000640513589772812e-12,6.469103980541998874e-12,9.469744494131772495e-12,1.000000000000000000e+00
1.380000000000000000e+02,1.865972082080957189e+05,1.865972082080956898e+05,2.910383045673370361e-11,3.000466742328645997e-12,4.804267282433999117e-12,7.804734024762644306e-12,1.000000000000000000e+00
1.390000000000000000e+02,1.893212190227963729e+05,1.893212190227963438e+05,2.910383045673370361e-11,3.000492208806569434e-12,1.421400375705800376e-11,1.721449596586457158e-11,1.000000000000000000e+00
1.400000000000000000e+02,1.920649690462991712e+05,1.920649690462991712e+05,0.000000000000000000e+00,3.000307951348649522e-12,2.375795795968200640e-11,2.675826591103065753e-11,1.000000000000000000e+00
1.410000000000000000e+02,1.948284582786042301e+05,1.948284582786042010e+05,2.910383045673370361e-11,3.000755861754487987e-12,3.343827737395401201e-11,3.643903323570849838e-11,1.000000000000000000e+00
1.420000000000000000e+02,1.976116867197114043e+05,1.976116867197114043e+05,0.000000000000000000e+00,3.000582090493359556e-12,9.283918172157996483e-12,1.228450026265135604e-11,1.000000000000000000e+00
1.430000000000000000e+02,2.004146543696208100e+05,2.004146543696207809e+05,2.910383045673370361e-11,3.001058463433348173e-12,2.310501896194000018e-12,5.311560359627348191e-12,1.000000000000000000e+00
